PROJECT_NAME,ADDRESS,CITY,STATE,ZIP,COUNTY,SITE_TYPE,SITE_TYPE_DETAILED,ACRES,APN,NATIONAL_PRIORITIES_LIST,REGULATORY_AGENCIES_INVOLVED,LEAD_AGENCY,PROJECT_MANAGER,SUPERVISOR,DIVISION_BRANCH,ENVIROSTOR_ID,SITE_CODE,ASSEMBLY,SENATE,CONGRESSIONAL_DISTRICT,SPECIAL_PROGRAM,STATUS,STATUS_DATE,PAST_USES,POTENTIAL_COC,CONFIRMED_COC,POTENTIAL_MEDIA_AFFECTED,RESTRICTED_USE,SITE_MGMT_REQ,FUNDING,LATITUDE,LONGITUDE
ACE TRAILER PARK SITE/HONEYWELL,17024 S. WESTERN AVE.,GARDENA,CA,90247,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,4.36,"6106009012, 8950-372-070",NO,SMBRP,SMBRP,,Rita Kamat,Cleanup Chatsworth,19880082,301197,66,24,43,Voluntary Agreement - Standard Voluntary Agreement,Certified,12/26/2006 0:00,"EQUIPMENT/INSTRUMENT REPAIR, MANUFACTURING - ELECTRONIC",30018,NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,Responsible Party,33.87548539,-118.3078425
ALFA CORPORATION,1638 W. 227TH ST.,TORRANCE,CA,90501,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19990046,,65,35,44,,Refer: 1248 Local Agency,7/30/2004 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.8200979,-118.3077606
JASMINE CLEANERS,5409 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.68,5544022054,NO,SMBRP,SMBRP,Meghan Hearne,Jose Diaz,Cleanup Cypress,60003365,301996,51,26,30,Voluntary Agreement - Standard Voluntary Agreement,Active,4/1/2022 0:00,DRY CLEANING,"30022, 30027, 30028, 30194, 30195, 30196","30022-NO,30027-NO,30028-NO,30194-NO,30195-NO,30196-NO",SV,NO,NONE SPECIFIED,Responsible Party,34.098435,-118.30761
Menasco Manufacturing,,Burbank,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80001103,,44,20,30,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.1825,-118.3075
"PB Fasteners, Division of Paul R. Briles, Inc.",1700 W. 132nd Street,Gardena,CA,90249,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002370,,61,35,43,,No Action Required,8/18/2006 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.912123,-118.307419
"J&M Anodizing, Inc.",525 S. Flower Street,Burbank,CA,91502,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002183,,44,20,30,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.17415,-118.307365
INTERNATIONAL LIGHT METALS,19200 SOUTH WESTERN AVENUE,TORRANCE,CA,90501,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19330238,300394,65,35,44,,Refer: RCRA,8/28/1995 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.85469505,-118.307335
"Capitol Metals Processing, Inc.",20000 S. Western Avenue,Torrance,CA,90501,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002843,,65,35,44,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.850374,-118.307298
ANGELUS PLATING WORKS,1713 WEST 134TH STREET,GARDENA,CA,90249,LOS ANGELES,Evaluation,Evaluation,3,6102-007-016,NO,SMBRP,SMBRP,,Juli Propes,Cleanup Cypress,19340654,301922,61,35,43,EPA - PASI,Active,2/5/2021 0:00,"METAL PLATING - CHROME, METAL PLATING - OTHER","10037, 10065, 10119, 10176, 10197, 10198, 20001",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,,33.91122891,-118.3072704
Angelus Plating,1713 W. 134th Street,Gardena,CA,90249,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002300,,61,35,43,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.911229,-118.30727
NORTHROP CORP-AIRCRAFT DIV,19200 SO WESTERN AVE,TORRANCE,CA,902500000,LOS ANGELES,Corrective Action,Corrective Action,0,7351003013,NO,NONE SPECIFIED,NONE SPECIFIED,,* Unknown,Cleanup Chatsworth,80001318,,65,35,44,,No Action Required,6/19/2013 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.85455,-118.307172
"Proposed South Region High School #6, Site 13",1600 West Imperial Highway,Los Angeles,CA,90047,LOS ANGELES,School Cleanup,School,1.85,6079001904,NO,SMBRP,SMBRP,Aslam Shareef,Shahir Haddad,Southern California Schools & Brownfields Outreach,60000796,304627,61,35,43,,Certified / Operation & Maintenance,4/30/2013 0:00,"AGRICULTURAL - LIVESTOCK, AGRICULTURAL - ORCHARD, FUEL - VEHICLE STORAGE/ REFUELING, LANDFILL - DOMESTIC, MAINTENANCE / CLEANING, OIL FIELD, SCHOOL - COLLEGE, VEHICLE MAINTENANCE","30001, 30006, 30007, 30008, 30013, 30015, 30024, 30025, 30028","30001-NO,30024-NO,30025-NO,30028-NO,30013-NO,30015-NO,30006-NO,30007-NO,30008-NO","IA, SOIL, SV",NO,NONE SPECIFIED,School District,33.92945201,-118.3069424
RAMONA PRIMARY SITE NO. 3,Oxford Avenue/Romaine Avenue/Serrano Ave,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,1.5,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19880046,404041,51,26,30,,Inactive - Withdrawn,2/10/2000 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.088458,-118.306916
RAMONA PRIMARY SITE NO. 6,Oxford Avenue/Romaine Avenue/Serrano Ave,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,1.58,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19880070,304119,51,26,30,,Inactive - Withdrawn,2/20/2013 0:00,RESIDENTIAL AREA,31001,NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,School District,34.088458,-118.306916
"Shachihata, Inc.",1661 W. 240th Street,Harbor City,CA,90710-1310,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,4.6,NONE SPECIFIED,NO,SMBRP,SMBRP,Viktoriya Anashkina,Jose Diaz,Cleanup Chatsworth,60001269,401670,65,35,36,Voluntary Agreement - CLRRA,Active,3/25/2010 0:00,"DEGREASING FACILITY, MACHINE SHOP, MANUFACTURING - INDUSTRIAL MACHINERY, MANUFACTURING - METAL, METAL FINISHING, OIL FIELD","31001, 30022, 30027","30022,30027,31001-NO","OTH, SV",NO,NONE SPECIFIED,Responsible Party,33.80793318,-118.306784
"South Region High School #14, Site 1A",Palos Verdes Drive North/Western Avenue,Los Angeles,CA,90731,LOS ANGELES,School Investigation,School,24,NONE SPECIFIED,NO,SMBRP,SMBRP,Aslam Shareef,Shahir Haddad,Southern California Schools & Brownfields Outreach,60000436,304542,66,35,44,,Inactive - Action Required,7/17/2008 0:00,"FUEL - AIRCRAFT STORAGE/ REFUELING, FUEL - VEHICLE STORAGE/ REFUELING, RESIDENTIAL AREA","30003, 30006, 30007, 30008, 30013, 30015, 30016, 30018","30018-NO,30003-NO,30006-NO,30007-NO,30008-NO,30013-NO,30015-NO,30016-NO",SOIL,NO,NONE SPECIFIED,Responsible Party,33.7695,-118.3064
Los Angeles Southwest College,1600 W.Imperial Highway,Los Angeles,CA,90047,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,"LA CNTY FIRE DEPT. (BILLING AND UST), LOS ANGELES COUNTY",NONE SPECIFIED,,* Greg Holmes,Cleanup Cypress,60000158,,61,35,43,,Refer: 1248 Local Agency,1/12/2006 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.9307202,-118.3062636
Sav-Mor Oil Company,4217 West Third Street,Los Angeles,CA,90004,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71003651,,54,26,34,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,34.069099,-118.306147
"All Metals Processing Co., Inc.",264 W. Spazier Avenue,Burbank,CA,91502,LOS ANGELES,Tiered Permit,Tiered Permit,0,5625-015-006,NO,US EPA,US EPA,Laura Radke,Andres Cano,Cleanup Chatsworth,71002180,301667,44,20,30,,Refer: Other Agency,7/2/2014 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,YES,NONE SPECIFIED,,34.16649,-118.306131
BELMONT/HOLLYWOOD NO. 3,La Mirada Avenue/Serrano Avenue,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,1.3,NONE SPECIFIED,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,19880049,304135,51,26,30,,Inactive - Needs Evaluation,2/11/2000 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.093852,-118.305901
"ELECTRO BLEACH PRODUCTS COMPANY, INC",1628 WEST 134TH STREET,GARDENA,CA,90249,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Cypress,19280149,,61,35,43,* Site Char & Assess Grant (CERCLA 104),No Further Action,6/1/1985 0:00,NONE SPECIFIED,"10094, 10098, 10195",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.9103531,-118.3057367
BELMONT NEW ELEMENTARY SCHOOL NO. 9,Wilshire Boulevard/Hobart Boulevard,Los Angeles,CA,90020,LOS ANGELES,School Investigation,School,1.5,5503028009,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,19550023,304296,54,26,34,,Inactive - Needs Evaluation,8/11/2004 0:00,* RETAIL - AUTO DEALERS & SERVICE STATIONS,", 30001, 30593, 30272, 30003, 30550",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.06319334,-118.3057095
HOBART/WILTON PRIMARY SCHOOL NO. 10,Serrano Avenue/Eighth Street,Los Angeles,CA,90005,LOS ANGELES,School Investigation,School,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,19590016,304148,54,26,34,,Inactive - Needs Evaluation,8/20/2002 0:00,* RETIAL - MISC.,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.05758,-118.305686
Slauson Super Mall,1600 West Slauson Avenue,Los Angeles,CA,90047,LOS ANGELES,Evaluation,Evaluation,0.24,NONE SPECIFIED,NO,SMBRP,SMBRP,,Andres Cano,Cleanup Chatsworth,60003030,301914,57,28,37,Voluntary Agreement - Standard Voluntary Agreement,Inactive - Action Required,11/21/2022 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Responsible Party,33.98853,-118.30546
BUTLER MANUFACTURING,1600 WEST 166TH STREET,GARDENA,CA,90248,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Cypress,19350396,,66,24,43,* Site Char & Assess Grant (CERCLA 104),Refer: Other Agency,11/7/1994 0:00,NONE SPECIFIED,"10098, 10198, 10199",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.87982642,-118.3050612
GEORGE WASHINGTON PREPARATORY HIGH SCH.,10860 S. Denker Avenue,Los Angeles,CA,90047,LOS ANGELES,School Investigation,School,4.34,6077028904,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19820116,304444,61,35,43,,No Action Required,8/23/2004 0:00,* EDUCATIONAL SERVICES,"NONE SPECIFIED,31000",NONE SPECIFIED,NMA,NO,NONE SPECIFIED,School District,33.93727492,-118.3044865
ALEXANDRIA NEW ELEMENTARY SCHOOL NO. 1,Beverly Boulevard/North Harvard Boulevard,Los Angeles,CA,90004,LOS ANGELES,School Investigation,School,2.3,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19880013,304274,54,26,34,,No Further Action,7/1/2003 0:00,"DRY CLEANING, RESIDENTIAL AREA",", 30115, 30187, 30593, 30272, 30525, 30550, 30003, 30032",NONE SPECIFIED,"IA, SOIL, SV",NO,NONE SPECIFIED,School District,34.076182,-118.304477
HOBART/WILTON PRIMARY SCHOOL NO. 9,7th Street/Hobart Boulevard/Harvard Boulevard,Los Angeles,CA,90005,LOS ANGELES,School Investigation,School,1.81,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19590015,304154,54,26,34,,Inactive - Withdrawn,8/20/2002 0:00,* RETIAL - MISC.,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.059611,-118.304455
HOBART ELEMENTARY SCHOOL ADDITION,3336 San Marino Street,Los Angeles,CA,90006,LOS ANGELES,School Cleanup,School,0.44,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19650013,304261,54,26,34,,Certified,2/4/2002 0:00,RESIDENTIAL AREA,30013,30013,SOIL,NO,NONE SPECIFIED,School District,34.05391789,-118.3042803
OVROM PARK AND SCHOOL,601 South San Fernando Boulvard,Burbank,CA,91502,LOS ANGELES,School Cleanup,School,1.4,2453032901,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19750100,304427,44,20,30,EPA - Target Site Investigation,Certified,6/25/2004 0:00,VEHICLE MAINTENANCE,"30001, 30018, 30067, 30108, 30153, 30154, 30406, 30587",30001,SOIL,NO,NONE SPECIFIED,School District,34.17697176,-118.3039154
RAMONA PRIMARY SITE NO. 1,Hobart Boulevard/Fountain Avenue/Harvard Blvd.,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,1.9,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19820083,404039,51,26,30,,Inactive - Withdrawn,2/10/2000 0:00,* EDUCATIONAL SERVICES,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.095006,-118.303733
GOLDEN STATE RUBBER & LATEX CORPORATION,1538 WEST 132ND STREET,GARDENA,CA,90249,LOS ANGELES,Historical,* Historical,,6102008007,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Chatsworth,19300004,,61,35,43,* Site Char & Assess Grant (CERCLA 104),Refer: Other Agency,8/31/1995 0:00,NONE SPECIFIED,"10119, 10197",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.91211909,-118.3037276
GLOBE ILLUMINATION COMPANY,1515 WEST 178TH STREET,GARDENA,CA,90248,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Cypress,19360136,,66,24,43,* Site Char & Assess Grant (CERCLA 104),Refer: Other Agency,6/1/1985 0:00,NONE SPECIFIED,"10098, 10120, 10179, 10193, 10194, 20026",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.86989905,-118.3037085
GLOBE ILLUMINATION COMPANY(FORMER),1515 W. 178TH ST.,GARDENA,CA,90248,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19250031,,66,24,43,,Refer: 1248 Local Agency,2/3/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.86989905,-118.3037085
NORTHROP CORP. AIRCRAFT DIV.,20700 DENKER AVE,LOS ANGELES,CA,900320000,LOS ANGELES,Corrective Action,Corrective Action,0,NONE SPECIFIED,NO,SMBRP,WM,,Jose Diaz,Cleanup Chatsworth,80001740,,65,35,44,,Inactive - Needs Evaluation,11/1/2018 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.842962,-118.303434
CAHUENGA ELEM #11/CDE,Harvard Boulevard/Third Street/Hobart Boulevard,Los Angeles,CA,90020,LOS ANGELES,School Investigation,School,3,NONE SPECIFIED,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,19890015,304138,54,26,34,,Inactive - Needs Evaluation,8/20/2002 0:00,* UNKNOWN,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.068938,-118.303348
RAMONA NEW PC AKA BOWLING ALLEY,Santa Monica Boulevard/Kingsley Drive,Los Angeles,CA,90029,LOS ANGELES,School Cleanup,School,3,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19790003,304005,54,26,30,,No Further Action,5/17/2002 0:00,RECREATION SERVICES,", 30154, 30136, 30191, 30022, 10048, 30577, 30272, 30593, 30550, 30578, 30137, 30402, 30003",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,School District,34.0907874,-118.3032823
BELMONT/HOLLYWOOD NO. 2,Harvard Boulevard/Romaine Street/Kingsley Drive,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,1.6,NONE SPECIFIED,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,19880048,304134,54,26,30,,Inactive - Needs Evaluation,2/11/2000 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.088446,-118.303132
HOLLYWOOD NEW CONTINUATION HS NO. 1,Harvard Blvd/Lemon Grove Ave/Kingsley Drive,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,0.83,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,19880039,304155,51,26,30,,Inactive - Withdrawn,2/10/2000 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.086102,-118.303101
TORRANCE ALUMINUM PLNT,,Torrance,CA,,LOS ANGELES,Military Evaluation,FUDS,20,NONE SPECIFIED,NO,SMBRP,SMBRP,,Patrick Hsieh,Cleanup Cypress,80000843,,65,35,44,,Inactive - Needs Evaluation,8/15/2018 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,33.85416667,-118.3027778
GRIFFITH PARK EXP LAB,,Los Angeles,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000257,,51,26,30,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.15555556,-118.3027778
GRIFFITH PARK PHOTO CENTER,,Los Angeles,CA,,LOS ANGELES,Military Evaluation,FUDS,0,NONE SPECIFIED,NO,SMBRP,SMBRP,,Douglas Bautista,Cleanup Cypress,80000258,,44,25,30,,Inactive - Needs Evaluation,7/1/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,DERA,34.15972222,-118.3027778
JCI JONES CHEMICALS INC,1401 DEL AMO BLVD,TORRANCE,CA,905011630,LOS ANGELES,Corrective Action,Corrective Action,0,NONE SPECIFIED,NO,SMBRP,WM,Christine Brown,* Unknown,Cleanup Cypress,80001566,,65,35,44,,Inactive - Needs Evaluation,11/10/2010 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.847946,-118.30264
Proposed Rolling Hills Preparatory School,300 A Paseo del Mar,Palos Verdes Estates,CA,90274,LOS ANGELES,School Investigation,School,20,NONE SPECIFIED,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,60000143,404678,65,35,44,,Inactive - Needs Evaluation,4/20/2006 0:00,NONE SPECIFIED,"30001, 30007, 30008, 30015","30001-NO,30007-NO,30008-NO,30015-NO",NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.7801,-118.3026
RAMONA PRIMARY SITE NO. 2,Kingsley Drive/Romaine Avenue/Ardmore Ave,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,1.5,NONE SPECIFIED,NO,SMBRP,SMBRP,,Mark Malinowski,Southern California Schools & Brownfields Outreach,19880045,404040,54,26,30,,Inactive - Withdrawn,2/10/2000 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.088449,-118.302346
ALDEN EQUIPMENT COMPANY,1449 WEST ROSECRANS AVENUE,GARDENA,CA,90249,LOS ANGELES,Historical,* Historical,,6102021015,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Chatsworth,19350015,,61,35,43,,Refer: Other Agency,8/31/1995 0:00,NONE SPECIFIED,10008,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.90236765,-118.3020352
MONTROSE CHEMICAL CORP,20201 NORMANDIE AVENUE,TORRANCE,CA,90502,LOS ANGELES,Federal Superfund,State Response or NPL,13,NONE SPECIFIED,YES,"SMBRP, US EPA",US EPA,Nicholas Ta,Patrick Hsieh,Cleanup Cypress,19280024,401950,65,35,44,,Active,4/22/1996 0:00,MANUFACTURING - CHEMICALS,"10076, 10077, 10099",NONE SPECIFIED,"AQUI, SOIL, SURFW",YES,NONE SPECIFIED,Responsible Party,33.84769546,-118.3019521
CALTRANS I-105 #16 & 17,I-5 FWY BTW NORMANDIE BLV & IMPERIAL HWY,LOS ANGELES,CA,90047,LOS ANGELES,State Response,State Response or NPL,13.5,"6079003906, 6079003907",NO,SMBRP,SMBRP,Folashade Simpson,Andres Cano,Cleanup Chatsworth,19990003,900363,61,35,43,,Certified / Operation & Maintenance,6/30/1994 0:00,"LANDFILL - CONSTRUCTION, LANDFILL - DOMESTIC","30003, 30015, 30028","300,033,001,530,028","SOIL, SV, IA",YES," REM, DAY, ELD, HOS, LUC, MON, EX, SCH, COV",Responsible Party,33.92855586,-118.3017158
BELMONT/HOLLYWOOD NO. 5,Lemon Grove Avenue/Kingsley Drive,Los Angeles,CA,90029,LOS ANGELES,School Investigation,School,0.8,NONE SPECIFIED,NO,SMBRP,SMBRP,,Shahir Haddad,Southern California Schools & Brownfields Outreach,19880050,304137,54,26,30,,Inactive - Needs Evaluation,2/11/2000 0:00,RESIDENTIAL AREA,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,School District,34.08627,-118.30166
Sonken-Galamba Corp,1439 West 178th Street,Gardena,CA,90359,LOS ANGELES,Evaluation,Evaluation,0.5,NONE SPECIFIED,NO,SMBRP,SMBRP,Gregory Shaffer,Eileen Mananian,Cleanup Cypress,60002443,301779,66,24,43,EPA - PASI,No Action Required,8/8/2017 0:00,FOUNDRY,30013,30013-NO,SOIL,NO,NONE SPECIFIED,EPA Grant,33.8692207,-118.3015568
Mary Star of the Sea High School,2500 Taper Avenue,San Pedro,CA,90731,LOS ANGELES,School Investigation,School,27.5,NONE SPECIFIED,NO,SMBRP,SMBRP,,Javier Hinojosa,Southern California Schools & Brownfields Outreach,60000635,404745,66,35,44,,Inactive - Needs Evaluation,11/20/2007 0:00,RESIDENTIAL AREA,"NONE SPECIFIED,31000",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,Responsible Party,33.767235,-118.301411
"Boeing North American, Inc., Long Beach Division",19503 S. Normandie,Torrance,CA,90502,LOS ANGELES,Tiered Permit,Tiered Permit,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,,Cleanup Chatsworth,71002618,,65,35,44,,Refer: Other Agency,,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.856908,-118.300919
PUREX CORP - B&W CHEMICAL DIVISION,25920 BELLE PORTE AVENUE,HARBOR CITY,CA,90710,LOS ANGELES,Historical,* Historical,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,* Mmonroy,Cleanup Cypress,19280127,,65,35,44,* RCRA 3012 - Past Haz Waste Disp Inven Site,Refer: Other Agency,3/1/1984 0:00,NONE SPECIFIED,"10098, 10193, 10195",NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,,33.78784266,-118.3007833
Chesterfield Apartments,4719 Normandie Avenue,Los Angeles,CA,90037,LOS ANGELES,Voluntary Cleanup,Voluntary Agreement,0.25,"5016020005, 5016020006",NO,SMBRP,SMBRP,Laura Radke,Juli Propes,Cleanup Chatsworth,60002963,301896,55,28,37,Voluntary Agreement - Standard Voluntary Agreement,No Further Action,4/13/2022 0:00,DRY CLEANING,30022,30022,SV,NO,NONE SPECIFIED,Responsible Party,34.00034047,-118.3004133
PEARMAN & SON READY CONCRETE MIX,14100 S. NORMANDIE AVE.,GARDENA,CA,90249,LOS ANGELES,Evaluation,Evaluation,,NONE SPECIFIED,NO,NONE SPECIFIED,NONE SPECIFIED,,Referred - Not Assigned,Cleanup Cypress,19170002,,61,35,43,,Refer: 1248 Local Agency,3/10/2005 0:00,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NONE SPECIFIED,NO,NONE SPECIFIED,Not Applicable,33.9037715,-118.3003841
GARDENA SUMPS,1450 West Artesia Boulevard (at Normandie),GARDENA,CA,90247,LOS ANGELES,State Response,State Response or NPL,5.6,6106036034,NO,SMBRP,SMBRP,Nicholas Ta,Patrick Hsieh,Cleanup Cypress,19490135,401218,66,24,43,,Active,9/25/1995 0:00,HAZARDOUS WASTE HAULER,"10097, 10193, 10197, 20017",NONE SPECIFIED,SOIL,NO,NONE SPECIFIED,Responsible Party,33.87235301,-118.30025
